,loss,accuracy,val_loss,val_accuracy
0,0.9313076734542847,0.5455164909362793,0.6883660554885864,0.5561538338661194
1,0.6784681081771851,0.5776504278182983,0.6691930890083313,0.5826923251152039
2,0.6724217534065247,0.5959211587905884,0.6677809357643127,0.6019230484962463
3,0.6672095656394958,0.603493869304657,0.6679931879043579,0.6138461828231812
4,0.651316225528717,0.6147928237915039,0.3225538432598114,0.8730769157409668
5,0.22368013858795166,0.9295216202735901,0.19715763628482819,0.9342307448387146
6,0.1941264420747757,0.9421828389167786,0.2232520878314972,0.9280769228935242
7,0.18524815142154694,0.9457088112831116,0.16431979835033417,0.9461538195610046
8,0.1717943549156189,0.9466303586959839,0.16559617221355438,0.9465384483337402
9,0.18865880370140076,0.9447872638702393,0.18040403723716736,0.9442307949066162
